delmarkedsområde,år,kvartall,påstigninger,anall innbyggere,t_index,Q_1,Q_2,Q_3,Q_4,sin_q,cos_q
1,2022,2,39938120,271225,1,False,True,False,False,1.2246467991473532e-16,-1.0
2,2022,2,7964882,145810,2,False,True,False,False,1.2246467991473532e-16,-1.0
3,2022,2,3806042,179064,3,False,True,False,False,1.2246467991473532e-16,-1.0
4,2022,2,640085,48940,4,False,True,False,False,1.2246467991473532e-16,-1.0
5,2022,2,587373,86723,5,False,True,False,False,1.2246467991473532e-16,-1.0
6,2022,2,6337959,142756,6,False,True,False,False,1.2246467991473532e-16,-1.0
7,2022,2,1961201,81121,7,False,True,False,False,1.2246467991473532e-16,-1.0
8,2022,2,938367,66980,8,False,True,False,False,1.2246467991473532e-16,-1.0
9,2022,2,8525118,140824,9,False,True,False,False,1.2246467991473532e-16,-1.0
10,2022,2,4261801,129073,10,False,True,False,False,1.2246467991473532e-16,-1.0
11,2022,2,1239765,96540,11,False,True,False,False,1.2246467991473532e-16,-1.0
12,2022,2,46697854,1389057,12,False,True,False,False,1.2246467991473532e-16,-1.0
1,2022,3,38674428,272246,13,False,False,True,False,-1.0,-1.8369701987210297e-16
2,2022,3,7596420,146414,14,False,False,True,False,-1.0,-1.8369701987210297e-16
3,2022,3,3640815,180666,15,False,False,True,False,-1.0,-1.8369701987210297e-16
4,2022,3,625271,49262,16,False,False,True,False,-1.0,-1.8369701987210297e-16
5,2022,3,569410,87168,17,False,False,True,False,-1.0,-1.8369701987210297e-16
6,2022,3,6226893,143044,18,False,False,True,False,-1.0,-1.8369701987210297e-16
7,2022,3,1945593,81666,19,False,False,True,False,-1.0,-1.8369701987210297e-16
8,2022,3,939217,67079,20,False,False,True,False,-1.0,-1.8369701987210297e-16
9,2022,3,8158015,141224,21,False,False,True,False,-1.0,-1.8369701987210297e-16
10,2022,3,4001685,129431,22,False,False,True,False,-1.0,-1.8369701987210297e-16
11,2022,3,1195457,97129,23,False,False,True,False,-1.0,-1.8369701987210297e-16
12,2022,3,9053980,1395328,24,False,False,True,False,-1.0,-1.8369701987210297e-16
1,2022,4,44180778,273266,25,False,False,False,True,-2.4492935982947064e-16,1.0
2,2022,4,8660801,147018,26,False,False,False,True,-2.4492935982947064e-16,1.0
3,2022,4,4319847,182530,27,False,False,False,True,-2.4492935982947064e-16,1.0
4,2022,4,716820,49738,28,False,False,False,True,-2.4492935982947064e-16,1.0
5,2022,4,683944,87658,29,False,False,False,True,-2.4492935982947064e-16,1.0
6,2022,4,6922487,143331,30,False,False,False,True,-2.4492935982947064e-16,1.0
7,2022,4,2207339,82102,31,False,False,False,True,-2.4492935982947064e-16,1.0
8,2022,4,1017446,67562,32,False,False,False,True,-2.4492935982947064e-16,1.0
9,2022,4,9800773,141623,33,False,False,False,True,-2.4492935982947064e-16,1.0
10,2022,4,4743370,129732,34,False,False,False,True,-2.4492935982947064e-16,1.0
11,2022,4,1348805,97589,35,False,False,False,True,-2.4492935982947064e-16,1.0
12,2022,4,4484917,1402148,36,False,False,False,True,-2.4492935982947064e-16,1.0
1,2023,1,46041928,274286,37,True,False,False,False,1.0,6.123233995736766e-17
2,2023,1,8868878,147622,38,True,False,False,False,1.0,6.123233995736766e-17
3,2023,1,4519603,183370,39,True,False,False,False,1.0,6.123233995736766e-17
4,2023,1,742372,50151,40,True,False,False,False,1.0,6.123233995736766e-17
