feature,mean_delta_r2,median_delta_r2,p05_delta_r2,p95_delta_r2,n_boot
anall innbyggere,0.004170679813191141,0.004297030874589436,-0.0012823061893481587,0.012904764462455014,20
AREA_2,0.0004593000528839597,0.00015504574961389128,-0.0017567121356719783,0.004398548827736337,20
t_index_area,0.000304118312851126,1.1283081215118784e-05,-0.0006659082941602446,0.0007579496190656171,20
AREA_10,0.000267643455519867,0.00016199752047096894,-0.0009600341085867158,0.0016780313810580547,20
Q_3,0.00016450398629900276,3.8612261892334576e-05,-0.0014807906410752635,0.0015195524584454628,20
år,0.00013000850277610775,0.00012363393299952286,-0.0012017863590796595,0.0014620595482423126,20
Q_1,4.660908008407572e-05,-6.86852431639462e-05,-0.0007574015584258798,0.0005339190377040866,20
Q_2,2.8797394197210836e-05,8.886671818419956e-07,-0.0017520116856218127,0.0007483721677219755,20
sin_q,2.6494915293073797e-05,4.822099399059976e-06,-0.0008614489514088997,0.0012041204237783437,20
AREA_11,-2.0054265453395283e-05,-9.48792555532929e-06,-0.0011433661753217418,0.000855293936133417,20
Q_4,-5.4895492133572035e-05,6.222809695993758e-05,-0.0014959169934317229,0.0005503602119974422,20
AREA_1,-5.822507008623745e-05,-7.45637637582508e-05,-0.0010285520057027099,0.0009336327435631677,20
cos_q,-0.00011851316345656837,-7.362017084899808e-05,-0.001899729721111154,0.0017176646554902546,20
AREA_3,-0.00037243071013575156,-0.0003337266979019371,-0.002628958518746188,0.0011762049063020236,20
t_index,-0.0006597878473795782,-0.0006841120714497495,-0.002360014521306969,0.0016777061514132165,20
