feature,value,pdp
anall innbyggere,50825.899999999994,-4320498.367798933
anall innbyggere,53107.85727272727,-4320154.44254811
anall innbyggere,55389.81454545454,-4320154.44254811
anall innbyggere,57671.77181818181,-4320154.44254811
anall innbyggere,59953.72909090908,-4251579.916437534
anall innbyggere,62235.686363636356,-4251579.916437534
anall innbyggere,64517.64363636363,-4251579.916437534
anall innbyggere,66799.6009090909,-4251579.916437534
anall innbyggere,69081.55818181817,-4245637.23069834
anall innbyggere,71363.51545454544,-4237375.727638147
anall innbyggere,73645.47272727272,-4237375.727638147
anall innbyggere,75927.43,-4237375.727638147
anall innbyggere,78209.38727272727,-4237375.727638147
anall innbyggere,80491.34454545454,-4237375.727638147
anall innbyggere,82773.30181818182,-4236766.596084383
anall innbyggere,85055.25909090908,-4236845.517166174
anall innbyggere,87337.21636363635,-4236516.174991237
anall innbyggere,89619.17363636363,-4237214.6262998525
anall innbyggere,91901.13090909089,-4237214.6262998525
anall innbyggere,94183.08818181817,-4128237.490604949
anall innbyggere,96465.04545454544,-4128237.490604949
anall innbyggere,98747.00272727272,-4013290.0249412525
anall innbyggere,101028.95999999999,-3912812.6772940936
anall innbyggere,103310.91727272727,-3912812.6772940936
anall innbyggere,105592.87454545454,-3912812.6772940936
anall innbyggere,107874.83181818182,-3912812.6772940936
anall innbyggere,110156.78909090908,-3912812.6772940936
anall innbyggere,112438.74636363635,-3913511.4914779994
anall innbyggere,114720.70363636363,-3640357.88891248
anall innbyggere,117002.6609090909,-1543186.1016863678
anall innbyggere,119284.61818181816,-1543186.1016863678
anall innbyggere,121566.57545454544,-1543186.1016863678
anall innbyggere,123848.53272727272,-1543186.1016863678
anall innbyggere,126130.48999999999,-1543186.1016863678
anall innbyggere,128412.44727272727,-1543186.1016863678
anall innbyggere,130694.40454545453,-920905.6667110447
anall innbyggere,132976.36181818182,-711051.5082729129
anall innbyggere,135258.3190909091,-724451.1059429817
anall innbyggere,137540.27636363637,310064.6509015751
anall innbyggere,139822.23363636364,324160.9843919702
anall innbyggere,142104.1909090909,878846.8679454329
anall innbyggere,144386.14818181816,945398.0306758648
anall innbyggere,146668.10545454544,945398.0306758648
anall innbyggere,148950.0627272727,1038619.812268485
anall innbyggere,151232.02,1042688.1244306021
anall innbyggere,153513.97727272726,1042688.1244306021
anall innbyggere,155795.9345454545,1042688.1244306021
anall innbyggere,158077.8918181818,1042688.1244306021
anall innbyggere,160359.84909090906,1042688.1244306021
anall innbyggere,162641.80636363634,1042702.9320519064
anall innbyggere,164923.7636363636,876080.5464346309
anall innbyggere,167205.7209090909,876080.5464346309
anall innbyggere,169487.67818181816,876080.5464346309
anall innbyggere,171769.63545454544,876080.5464346309
anall innbyggere,174051.5927272727,876080.5464346309
anall innbyggere,176333.55,876080.5464346309
anall innbyggere,178615.50727272726,876080.5464346309
anall innbyggere,180897.46454545454,877129.7127400673
anall innbyggere,183179.4218181818,879344.5078744524
anall innbyggere,185461.37909090906,879344.5078744524
anall innbyggere,187743.33636363634,879579.6834742159
anall innbyggere,190025.2936363636,880958.8825634279
anall innbyggere,192307.2509090909,880958.8825634279
anall innbyggere,194589.20818181816,880958.8825634279
anall innbyggere,196871.16545454544,880958.8825634279
anall innbyggere,199153.1227272727,880958.8825634279
anall innbyggere,201435.08,880958.8825634279
anall innbyggere,203717.03727272726,880958.8825634279
anall innbyggere,205998.99454545454,880958.8825634279
anall innbyggere,208280.9518181818,880958.8825634279
anall innbyggere,210562.90909090906,880958.8825634279
anall innbyggere,212844.86636363633,880958.8825634279
anall innbyggere,215126.8236363636,880958.8825634279
anall innbyggere,217408.78090909088,880958.8825634279
anall innbyggere,219690.73818181816,880958.8825634279
anall innbyggere,221972.69545454544,880958.8825634279
anall innbyggere,224254.6527272727,880958.8825634279
anall innbyggere,226536.61,884329.3718529032
anall innbyggere,228818.56727272726,884329.3718529032
anall innbyggere,231100.52454545454,1621439.772372986
anall innbyggere,233382.48181818178,16489397.98650802
anall innbyggere,235664.43909090906,16489397.98650802
anall innbyggere,237946.39636363633,16489397.98650802
anall innbyggere,240228.3536363636,16489397.98650802
anall innbyggere,242510.31090909088,16489397.98650802
anall innbyggere,244792.26818181816,16489397.98650802
