,påstigninger,pred,residual
0,39938120,39860753.322810285,77366.6771897152
13,7964882,8058139.262942338,-93257.26294233836
26,3806042,3881860.1228330918,-75818.12283309177
39,640085,633058.6275664055,7026.372433594544
52,587373,563365.9399328479,24007.06006715214
65,6337959,6443906.202399949,-105947.20239994861
78,1961201,2013151.2993595407,-51950.29935954069
91,938367,884405.182087994,53961.81791200605
104,8525118,8601164.992012648,-76046.99201264791
117,4261801,4122823.457990029,138977.5420099711
130,1239765,1172940.5517921573,66824.44820784265
1,38674428,38461937.58424017,212490.41575983167
14,7596420,7803382.58971583,-206962.58971583005
27,3640815,3656187.101125292,-15372.101125292014
40,625271,613469.4864401822,11801.513559817802
53,569410,571440.6030729027,-2030.6030729026534
66,6226893,6328286.24319819,-101393.24319818988
79,1945593,1973955.2619490242,-28362.261949024163
92,939217,823310.4070478975,115906.59295210254
105,8158015,8169191.20472691,-11176.204726910219
118,4001685,3850491.665166221,151193.3348337789
131,1195457,1017192.4122855541,178264.5877144459
2,44180778,44403078.961961925,-222300.96196192503
15,8660801,8592714.691749042,68086.3082509581
28,4319847,4366185.80043461,-46338.800434609875
41,716820,759597.8269818649,-42777.82698186487
54,683944,714172.7278897738,-30228.727889773785
67,6922487,6919078.693412129,3408.306587871164
80,2207339,2208873.6887821234,-1534.6887821233831
93,1017446,1068928.166576927,-51482.16657692706
106,9800773,10068135.026666613,-267362.0266666133
119,4743370,4724642.853477298,18727.146522701718
132,1348805,1371936.9535266212,-23131.95352662122
3,46041928,45872162.78357925,169765.21642074734
16,8868878,8728315.055774257,140562.9442257434
29,4519603,4526800.0085905865,-7197.0085905864835
42,742372,823585.5995390575,-81213.59953905747
55,724694,778160.5004469662,-53466.50044696615
68,7126527,7040268.267337326,86258.73266267404
81,2287753,2271756.8867492597,15996.113250740338
94,1045150,1116092.174026685,-70942.17402668507
107,10821959,10378439.805827713,443519.19417228736
120,4939064,4832319.326962642,106744.67303735763
133,1446884,1435655.6663420452,11228.33365795482
4,44660757,44880430.25688662,-219673.25688661635
17,8556470,8615507.361403711,-59037.36140371114
30,4202322,4335883.141348701,-133561.14134870097
43,710687,742183.2984532772,-31496.29845327721
56,650065,689495.9062806998,-39430.90628069977
69,6905547,6904648.052402757,898.9475972428918
82,2217639,2187959.6041654604,29679.39583453955
95,1024011,1024660.1572910143,-649.1572910143295
108,9582410,9779399.636267882,-196989.63626788184
121,4672291,4674382.362705145,-2091.362705145031
134,1360212,1333130.923454796,27081.076545204036
5,42316095,42087209.4908732,228885.50912679732
18,8004491,8154927.665403014,-150436.66540301405
31,3907669,3904450.8548126644,3218.1451873355545
44,679655,661003.2356168478,18651.764383152244
57,600306,591055.5894595176,9250.410540482379
70,6594884,6517689.543315228,77194.45668477193
83,2064834,2046862.6267185046,17971.373281495413
96,967700,861664.4422144783,106035.55778552173
109,8838907,9086318.141466858,-247411.14146685787
122,4140307,4292692.779578368,-152385.77957836818
135,1241760,1140123.9857299123,101636.0142700877
6,47228577,47231210.68557457,-2633.685574568808
19,8976326,8866434.123740058,109891.87625994161
32,4567776,4583111.083226897,-15335.083226896822
45,752821,811434.1085307546,-58613.10853075457
58,717167,762970.3139495857,-45803.31394958566
71,6971486,7056311.711090992,-84825.7110909922
84,2320908,2264258.043040773,56649.9569592271
97,1078585,1101173.2604489783,-22588.260448978283
110,10673559,10367640.427453035,305918.5725469645
123,4982993,4889759.451729131,93233.54827086907
136,1445104,1442026.0648043873,3077.935195612721
7,46720612,46851351.49700036,-130739.497000359
20,8771852,8846189.201092592,-74337.20109259151
33,4512689,4564942.317106293,-52253.31710629258
46,750294,793265.3424101511,-42971.34241015115
59,713047,744801.5478289822,-31754.547828982235
72,6822055,7032864.758393787,-210809.75839378685
85,2282699,2260070.267946549,22628.732053450774
98,1029901,1096985.4853547544,-67084.48535475438
111,10713285,10618853.010071117,94431.98992888257
124,4885424,4928335.414318176,-42911.41431817599
137,1395461,1500265.885024298,-104804.88502429798
8,47052732,46929455.56676579,123276.43323420733
21,9210378,9008047.222441157,202330.77755884267
34,4581826,4591384.008521729,-9558.008521729149
47,792494,869410.188914349,-76916.18891434895
60,719487,810203.120854188,-90716.12085418799
73,7341913,7117306.116708261,224606.88329173904
86,2430978,2347943.1269639432,83034.87303605676
99,1126613,1167492.7902047366,-40879.79020473664
112,10425988,10226554.025444258,199433.974555742
125,5078511,4929114.91002427,149396.08997572958
138,1492622,1473715.9964048965,18906.00359510351
9,42637596,42826958.61948108,-189362.61948107928
22,8375938,8410323.505398698,-34385.50539869815
35,4066790,4015113.5613597305,51676.43864026945
48,708590,669443.2294495534,39146.770550446585
61,604279,592975.9074046393,11303.092595360707
74,6521100,6591603.111328494,-70503.1113284938
87,2158915,2080356.9987219556,78558.00127804442
100,989075,876471.0780251288,112603.92197487119
113,8973358,9383313.968523625,-409955.9685236253
126,4232624,4365759.103335778,-133135.10333577823
139,1277177,1180724.585533175,96452.41446682508
10,48262937,48112195.69629913,150741.30370087177
23,9256103,9068631.911909353,187471.088090647
36,4761576,4741970.731053933,19605.26894606743
49,802227,860538.5436560487,-58311.543656048714
62,746572,808593.7686763741,-62021.76867637411
75,7185910,7157208.155213609,28701.844786390662
88,2385932,2335276.040572146,50655.959427854046
101,1105416,1156644.3375522161,-51228.33755221614
114,10616604,10573699.892055487,42904.10794451274
127,5035662,5090313.347824295,-54651.34782429505
140,1509415,1584531.8133848868,-75116.81338488683
11,48047221,48089731.40259225,-42510.402592249215
24,9155964,9066078.44913945,89885.55086055025
37,4697441,4735861.129456615,-38420.129456615075
50,824342,851336.9852093065,-26994.98520930647
63,760382,799392.2102296319,-39010.21022963186
76,7097812,7142728.410190267,-44916.41019026656
89,2385393,2326631.514594798,58761.485405202024
102,1098717,1141194.1381998018,-42477.13819980179
115,11057683,10906347.047959972,151335.95204002783
128,5107628,5164151.297837836,-56523.29783783574
141,1543133,1643466.2519633423,-100333.2519633423
