row_id,scenario,anall innbyggere,pred,delta_pop,pred_plus,pred_minus,derivative_dY_dPop,elasticity
0,basis,282692.0,47022355.53448267,2826.92,47022355.53448267,46529321.60904215,87.20337424485356,0.5242548143711864
1,pluss2pct,288346.0,47022355.53448267,2883.46,47022355.53448267,47022355.53448267,0.0,0.0
2,minus2pct,277038.0,46366943.7738538,2770.38,46529321.60904215,46245721.142825834,51.18439820824541,0.3058218238401982
3,basis,282775.0,43664875.16918217,2827.75,43664875.16918217,43171841.24374165,87.17777834683406,0.5645658249682732
4,pluss2pct,288431.0,43664875.16918217,2884.31,43664875.16918217,43664875.16918217,0.0,0.0
5,minus2pct,277120.0,43228832.88911952,2771.2000000000003,43171841.24374165,43137196.17589307,6.250914377991114,0.04007171317514096
6,basis,282859.0,48193582.34966463,2828.59,48193582.34966463,47678308.61860673,91.08314231788498,0.5345874968573261
7,pluss2pct,288516.0,48193582.34966463,2885.16,48193582.34966463,48193582.34966463,0.0,0.0
8,minus2pct,277201.0,47449552.237281926,2772.01,47678308.61860673,47324301.28321972,63.853906621370896,0.3730354857899619
9,basis,282942.0,48110834.14701642,2829.42,48110834.14701642,47628820.187198944,85.17893416627425,0.500941179220202
10,pluss2pct,288601.0,48110834.14701642,2886.01,48110834.14701642,48110834.14701642,0.0,0.0
11,minus2pct,277283.0,47439407.67559076,2772.83,47628820.187198944,47318185.044562794,56.01409798583907,0.3274020037943907
12,basis,132286.0,5044471.000706439,1322.8600000000001,5044471.000706439,4857190.307873148,70.78628608971937,1.8562966543673771
13,pluss2pct,134932.0,5044471.000706439,1349.32,5044471.000706439,5044471.000706439,0.0,0.0
14,minus2pct,129640.0,4687342.537698033,1296.4,4857190.307873148,4176360.70483981,262.58469725136564,7.262426391476161
15,basis,132312.0,4596881.3538687015,1323.1200000000001,4596881.3538687015,4421553.378326446,66.25550801977761,1.907031768339002
16,pluss2pct,134958.0,4596881.3538687015,1349.58,4596881.3538687015,4596881.3538687015,0.0,0.0
17,minus2pct,129666.0,4302711.097930886,1296.66,4421553.378326446,3791729.2650726587,242.8640172650446,7.3189217091133445
18,basis,132338.0,5079353.579828528,1323.38,5079353.579828528,4885843.824826861,73.11193874838152,1.904865963359445
19,pluss2pct,134985.0,5079353.579828528,1349.8500000000001,5079353.579828528,5079353.579828528,0.0,0.0
20,minus2pct,129692.0,4715996.0546517465,1296.92,4885843.824826861,4205014.221793529,262.4794139319823,7.218301236297461
21,basis,132364.0,5086920.812627297,1323.64,5086920.812627297,4893411.05762563,73.09757751415263,1.9020323111902533
22,pluss2pct,135012.0,5086920.812627297,1350.1200000000001,5086920.812627297,5086920.812627297,0.0,0.0
23,minus2pct,129717.0,4723563.287450516,1297.17,4893411.05762563,4212581.454592298,262.4288269977463,7.206737388722512
24,basis,100339.0,1607245.5022108594,1003.39,1607245.5022108594,1443802.2224263218,81.4455395133187,5.0845772957433075
25,pluss2pct,102346.0,1607245.5022108594,1023.46,1607245.5022108594,1607245.5022108594,0.0,0.0
26,minus2pct,98332.0,1443802.2224263218,983.32,1443802.2224263218,1275301.18793925,85.67965387008843,5.835322590233422
27,basis,100369.0,1306950.3931722064,1003.69,1306950.3931722064,1177093.5776222516,64.68970277174948,4.967932074099934
28,pluss2pct,102376.0,1306950.3931722064,1023.76,1306950.3931722064,1306950.3931722064,0.0,0.0
29,minus2pct,98362.0,1177093.5776222516,983.62,1177093.5776222516,1055465.6693356847,61.826675081112334,5.166450255053545
30,basis,100399.0,1643943.5582063815,1003.99,1643943.5582063815,1480500.278421844,81.39686639535093,4.971073336692317
31,pluss2pct,102407.0,1643943.5582063815,1024.07,1643943.5582063815,1643943.5582063815,0.0,0.0
32,minus2pct,98391.0,1480500.278421844,983.91,1480500.278421844,1343129.516741087,69.8086012342371,4.63933589486347
33,basis,100430.0,1643466.2519633423,1004.3000000000001,1643466.2519633423,1480022.9721788047,81.37174140423038,4.972517068399855
34,pluss2pct,102438.0,1643466.2519633423,1024.38,1643466.2519633423,1643466.2519633423,0.0,0.0
35,minus2pct,98421.0,1480022.9721788047,984.21,1480022.9721788047,1342652.2104980478,69.78732266526251,4.6408320770361655
36,basis,151043.0,8978566.595939066,1510.43,8978566.595939066,8978566.595939066,0.0,0.0
37,pluss2pct,154063.0,8978566.595939066,1540.63,8978566.595939066,8978566.595939066,0.0,0.0
38,minus2pct,148022.0,8904429.49739805,1480.22,8978566.595939066,8790396.33856396,63.56158455334547,1.0566104062595534
39,basis,151080.0,8424771.722100846,1510.8,8424771.722100846,8424771.722100846,0.0,0.0
40,pluss2pct,154102.0,8424771.722100846,1541.02,8424771.722100846,8424771.722100846,0.0,0.0
41,minus2pct,148058.0,8350634.623559833,1480.58,8424771.722100846,8236601.464725743,63.54612968401067,1.1266823771945194
42,basis,151117.0,9051882.792142984,1511.17,9051882.792142984,9051882.792142984,0.0,0.0
43,pluss2pct,154140.0,9051882.792142984,1541.4,9051882.792142984,9051882.792142984,0.0,0.0
44,minus2pct,148095.0,8977745.693601968,1480.95,9051882.792142984,8863712.534767877,63.530253342484464,1.0479816637555526
45,basis,151155.0,9049329.32937308,1511.55,9049329.32937308,9049329.32937308,0.0,0.0
46,pluss2pct,154178.0,9049329.32937308,1541.78,9049329.32937308,9049329.32937308,0.0,0.0
47,minus2pct,148132.0,8975192.230832065,1481.32,9049329.32937308,8861159.071997972,63.514384932056274,1.04827981694194
48,basis,193831.0,4614572.46916937,1938.31,4614572.46916937,4614572.46916937,0.0,0.0
49,pluss2pct,197707.0,4614572.46916937,1977.07,4614572.46916937,4614572.46916937,0.0,0.0
50,minus2pct,189954.0,4614572.46916937,1899.54,4614572.46916937,4601010.344792118,3.569844377389143,0.1469488719470988
51,basis,193939.0,4078164.008549018,1939.39,4078164.008549018,4078164.008549018,0.0,0.0
52,pluss2pct,197818.0,4078164.008549018,1978.18,4078164.008549018,4078164.008549018,0.0,0.0
53,minus2pct,190061.0,4078164.008549018,1900.6100000000001,4078164.008549018,4064601.884171769,3.567834636576917,0.16627732907282236
54,basis,194048.0,4758986.89593252,1940.48,4758986.89593252,4758986.89593252,0.0,0.0
55,pluss2pct,197929.0,4758986.89593252,1979.29,4758986.89593252,4758986.89593252,0.0,0.0
56,minus2pct,190167.0,4758986.89593252,1901.67,4758986.89593252,4745424.771555268,3.565845908399331,0.14248961673799718
57,basis,194157.0,4758509.589689481,1941.57,4758509.589689481,4758509.589689481,0.0,0.0
58,pluss2pct,198040.0,4758509.589689481,1980.4,4758509.589689481,4758509.589689481,0.0,0.0
59,minus2pct,190274.0,4758509.589689481,1902.74,4758509.589689481,4744947.4653122295,3.563840665895411,0.14250390927694517
60,basis,52767.0,866292.587805645,527.67,866292.587805645,866292.587805645,0.0,0.0
61,pluss2pct,53822.0,866292.587805645,538.22,866292.587805645,866292.587805645,0.0,0.0
62,minus2pct,51712.0,866292.587805645,517.12,866292.587805645,862910.656172562,3.269967931121306,0.1951956925805791
63,basis,52796.0,708225.9332820083,527.96,708225.9332820083,708225.9332820083,0.0,0.0
64,pluss2pct,53852.0,708225.9332820083,538.52,708225.9332820083,708225.9332820083,0.0,0.0
65,minus2pct,51740.0,708225.9332820083,517.4,708225.9332820083,704844.0016489251,3.2681983311588136,0.23876078763529898
66,basis,52825.0,895728.3507206809,528.25,895728.3507206809,895728.3507206809,0.0,0.0
67,pluss2pct,53882.0,895728.3507206809,538.82,895728.3507206809,895728.3507206809,0.0,0.0
68,minus2pct,51769.0,895728.3507206809,517.69,895728.3507206809,892346.4190875978,3.266367549192697,0.18878109810648036
69,basis,52854.0,895251.0444776416,528.54,895251.0444776416,895251.0444776416,0.0,0.0
70,pluss2pct,53911.0,895251.0444776416,539.11,895251.0444776416,895251.0444776416,0.0,0.0
71,minus2pct,51797.0,895251.0444776416,517.97,895251.0444776416,891869.1128445584,3.2646018428510746,0.1888817474128959
72,basis,91526.0,790205.433929753,915.26,790205.433929753,790205.433929753,0.0,0.0
73,pluss2pct,93356.0,790205.433929753,933.5600000000001,950430.9751220713,790205.433929753,85.81427074441852,10.138220664688715
74,minus2pct,89695.0,790205.433929753,896.95,790205.433929753,793244.1294188309,-1.6939046151278436,-0.1922725002007497
75,basis,91562.0,614878.5254213634,915.62,614878.5254213634,614878.5254213634,0.0,0.0
76,pluss2pct,93394.0,614878.5254213634,933.94,756283.9815143467,614878.5254213634,75.7037154918854,11.498649753305395
77,minus2pct,89731.0,614878.5254213634,897.3100000000001,614878.5254213634,617917.2209104412,-1.693225022053603,-0.247097220300179
78,basis,91599.0,826903.4899252753,915.99,826903.4899252753,826903.4899252753,0.0,0.0
79,pluss2pct,93431.0,826903.4899252753,934.3100000000001,987129.0311175943,826903.4899252753,85.74538493236689,9.688285461632198
80,minus2pct,89767.0,826903.4899252753,897.6700000000001,826903.4899252753,829942.1854143529,-1.6925459740648578,-0.1837394282464692
81,basis,91636.0,826426.183682236,916.36,826426.183682236,826426.183682236,0.0,0.0
82,pluss2pct,93468.0,826426.183682236,934.6800000000001,986651.724874555,826426.183682236,85.71144198673353,9.693880975456093
83,minus2pct,89803.0,826426.183682236,898.03,826426.183682236,829464.8791713136,-1.6918674705063306,-0.1838455477982526
84,basis,146429.0,7111445.417054225,1464.29,7182328.097396523,7111445.417054225,24.20377122779559,0.49837041687974704
85,pluss2pct,149357.0,7227722.08374273,1493.57,7227722.08374273,7182328.097396523,15.19647098770307,0.314026921762195
86,minus2pct,143500.0,7088910.328204705,1435.0,7111445.417054225,6993334.885211071,41.15349541573302,0.8330654950819905
87,basis,146459.0,6636881.81709032,1464.59,6707764.497432618,6636881.81709032,24.19881343662669,0.5340058953571505
88,pluss2pct,149388.0,6753158.483778826,1493.88,6753158.483778826,6707764.497432618,15.193317517540706,0.33609448419761184
89,minus2pct,143529.0,6614346.728240801,1435.29,6636881.81709032,6518771.285247167,41.14518036186175,0.8928359571691717
90,basis,146488.0,7174224.320092197,1464.88,7245107.000434495,7174224.320092197,24.194022835419208,0.49400936728297656
91,pluss2pct,149418.0,7290500.986780702,1494.18,7290500.986780702,7245107.000434495,15.190267018099483,0.31132281875084544
92,minus2pct,143558.0,7151689.231242677,1435.58,7174224.320092197,7056113.788249043,41.136868667421815,0.8257526860030517
93,basis,146518.0,7168468.827272557,1465.18,7239351.507614855,7168468.827272557,24.189069036670695,0.49440600252472344
94,pluss2pct,149448.0,7284745.493961062,1494.48,7284745.493961062,7239351.507614855,15.187217743364663,0.31156878702102997
95,minus2pct,143588.0,7145933.738423037,1435.88,7168468.827272557,7050358.295429403,41.1282738958525,0.8264177654494874
96,basis,85681.0,2325441.3609936787,856.8100000000001,2325441.3609936787,2325441.3609936787,0.0,0.0
97,pluss2pct,87395.0,2325441.3609936787,873.95,2325441.3609936787,2325441.3609936787,0.0,0.0
