feature,mean_abs_shap
anall innbyggere,4038783.7694246927
AREA_1,3367696.084650172
AREA_9,497274.52562667016
AREA_3,342514.2838853324
AREA_2,260232.8327438939
AREA_7,159207.0128901553
Q_3,127997.52783924813
t_index,126105.80295299494
cos_q,93343.55220987451
sin_q,92979.63980671625
AREA_5,51204.32492530325
t_index_area,31567.43944941181
AREA_4,29275.697873779915
AREA_6,9557.241391109299
AREA_10,8497.728122855657
år,6421.564610065179
Q_2,965.6837239018489
Q_1,715.2569838662024
AREA_11,666.3986197071823
Q_4,637.0164125043464
AREA_8,0.0
