feature,shap_mean,shap_std,p05,p95,n_boot
anall innbyggere,4241307.146996912,753934.0239830588,3578027.973798676,5711073.991395317,25
AREA_1,3441792.213010205,1137243.6841998964,1521193.1268660144,4780900.855252818,25
AREA_9,444486.6371100061,151185.7535251396,209601.06210889207,698527.9362312473,25
AREA_3,332943.9796713319,88313.5765598429,157585.17863347006,441676.4161448984,25
AREA_2,247325.99303536752,112447.75772399011,103122.42970254028,427707.04908790276,25
AREA_7,139931.42938592762,28925.944805642874,87770.0359825293,179038.3780390804,25
t_index,114626.4123002294,28264.524657223417,72685.41799558104,152794.45640272816,25
Q_3,86375.68248823975,32676.81834860645,34446.26359880776,148248.77240546764,25
sin_q,80157.65930836427,42019.63730717014,41475.64026981991,170381.97213924714,25
cos_q,68731.23468210113,55542.35400559724,7736.859456207188,198146.75112079724,25
AREA_5,68610.61989431485,18993.1960357912,48255.17484254874,94321.09981622329,25
t_index_area,40076.055705470295,20340.155748834033,11729.533041623363,77997.04383620921,25
år,22150.113766684215,20249.008101513402,1858.666979659687,64986.466735081995,25
AREA_6,20346.76307780909,31684.49791642751,353.6234277745257,52745.399253955504,25
AREA_4,13033.283861164427,6555.952094502785,5462.635721257994,23114.21680889453,25
AREA_10,10415.056313754241,11816.782081407102,30.126207303914804,28940.577854141553,25
Q_1,5882.000457284339,10368.256596612813,393.5312844629567,32957.38244746639,25
Q_4,5183.201730415795,7333.960905211179,182.48185368529926,15019.678067014738,25
Q_2,4396.047871172213,5175.519144029868,454.34904182880183,11573.529418857948,25
AREA_11,1717.743392683151,2330.5860167889928,0.0,6418.433031710972,25
AREA_8,1196.963809434328,1755.8085755928414,0.0,3988.76255042959,25
