delmarkedsområde,år,kvartall,påstigninger,anall innbyggere
 1 ," 2,022 ",2," 39,938,120 "," 271,225 "
 1 ," 2,022 ",3," 38,674,428 "," 272,246 "
 1 ," 2,022 ",4," 44,180,778 "," 273,266 "
 1 ," 2,023 ",1," 46,041,928 "," 274,286 "
 1 ," 2,023 ",2," 44,660,757 "," 275,519 "
 1 ," 2,023 ",3," 42,316,095 "," 276,752 "
 1 ," 2,023 ",4," 47,228,577 "," 277,985 "
 1 ," 2,024 ",1," 46,720,612 "," 279,218 "
 1 ," 2,024 ",2," 47,052,732 "," 279,577 "
 1 ," 2,024 ",3," 42,637,596 "," 279,936 "
 1 ," 2,024 ",4," 48,262,937 "," 280,295 "
 1 ," 2,025 ",1," 48,047,221 "," 280,654 "
 1 ," 2,025 ",2,"46,697,854",
 2 ," 2,022 ",2," 7,964,882 "," 145,810 "
 2 ," 2,022 ",3," 7,596,420 "," 146,414 "
 2 ," 2,022 ",4," 8,660,801 "," 147,018 "
 2 ," 2,023 ",1," 8,868,878 "," 147,622 "
 2 ," 2,023 ",2," 8,556,470 "," 147,982 "
 2 ," 2,023 ",3," 8,004,491 "," 148,342 "
 2 ," 2,023 ",4," 8,976,326 "," 148,701 "
 2 ," 2,024 ",1," 8,771,852 "," 149,061 "
 2 ," 2,024 ",2," 9,210,378 "," 149,428 "
 2 ," 2,024 ",3," 8,375,938 "," 149,795 "
 2 ," 2,024 ",4," 9,256,103 "," 150,162 "
 2 ," 2,025 ",1," 9,155,964 "," 150,529 "
 2 ," 2,025 ",2,"9,053,980",
 3 ," 2,022 ",2," 3,806,042 "," 179,064 "
 3 ," 2,022 ",3," 3,640,815 "," 180,666 "
 3 ," 2,022 ",4," 4,319,847 "," 182,530 "
 3 ," 2,023 ",1," 4,519,603 "," 183,370 "
 3 ," 2,023 ",2," 4,202,322 "," 184,495 "
 3 ," 2,023 ",3," 3,907,669 "," 185,692 "
 3 ," 2,023 ",4," 4,567,776 "," 187,192 "
 3 ," 2,024 ",1," 4,512,689 "," 188,370 "
 3 ," 2,024 ",2," 4,581,826 "," 189,330 "
 3 ," 2,024 ",3," 4,066,790 "," 190,616 "
 3 ," 2,024 ",4," 4,761,576 "," 191,497 "
 3 ," 2,025 ",1," 4,697,441 "," 192,307 "
 3 ," 2,025 ",2,"4,484,917",
 4 ," 2,022 ",2," 640,085 "," 48,940 "
 4 ," 2,022 ",3," 625,271 "," 49,262 "
 4 ," 2,022 ",4," 716,820 "," 49,738 "
 4 ," 2,023 ",1," 742,372 "," 50,151 "
 4 ," 2,023 ",2," 710,687 "," 50,277 "
 4 ," 2,023 ",3," 679,655 "," 50,578 "
 4 ," 2,023 ",4," 752,821 "," 50,822 "
 4 ," 2,024 ",1," 750,294 "," 51,212 "
 4 ," 2,024 ",2," 792,494 "," 51,584 "
 4 ," 2,024 ",3," 708,590 "," 51,921 "
 4 ," 2,024 ",4," 802,227 "," 52,244 "
 4 ," 2,025 ",1," 824,342 "," 52,519 "
 4 ," 2,025 ",2,"804,821",
 5 ," 2,022 ",2," 587,373 "," 86,723 "
 5 ," 2,022 ",3," 569,410 "," 87,168 "
 5 ," 2,022 ",4," 683,944 "," 87,658 "
 5 ," 2,023 ",1," 724,694 "," 88,040 "
 5 ," 2,023 ",2," 650,065 "," 88,470 "
 5 ," 2,023 ",3," 600,306 "," 88,884 "
 5 ," 2,023 ",4," 717,167 "," 89,354 "
 5 ," 2,024 ",1," 713,047 "," 89,786 "
 5 ," 2,024 ",2," 719,487 "," 90,142 "
 5 ," 2,024 ",3," 604,279 "," 90,594 "
 5 ," 2,024 ",4," 746,572 "," 90,705 "
 5 ," 2,025 ",1," 760,382 "," 91,090 "
 5 ," 2,025 ",2,"718,033",
 6 ," 2,022 ",2," 6,337,959 "," 142,756 "
 6 ," 2,022 ",3," 6,226,893 "," 143,044 "
 6 ," 2,022 ",4," 6,922,487 "," 143,331 "
 6 ," 2,023 ",1," 7,126,527 "," 143,618 "
 6 ," 2,023 ",2," 6,905,547 "," 143,919 "
 6 ," 2,023 ",3," 6,594,884 "," 144,221 "
 6 ," 2,023 ",4," 6,971,486 "," 144,522 "
 6 ," 2,024 ",1," 6,822,055 "," 144,823 "
